排名,姓名,性别,地区,分类,达人指数,粉丝总量,作品总数,点赞总数,平均点赞,平均评论,平均转发,粉丝增量,视频数,新增直播数,点赞增量,评论增量,转发增量,观看总人数,峰值人数,送礼UV,关注增量,粉丝团增量,商品数,销售额,销量,音浪收入,总佣金
37,小黄豆妈美食,女,,7,921.5,4165000.0,216.0,7202000.0,43000.0,3676.0,1353.0,245000.0,16.0,0.0,697000.0,47000.0,18000.0,400000.0,1300.0,3000.0,1300.0,5500.0,400.0,1400000.0,1300.0,50000.0,1600.0
38,灵魂杂货铺 老王酥,男,北京,1,889.9,1463000.0,278.0,7129000.0,7008.0,181.0,76.0,76000.0,56.0,5.0,590000.0,12000.0,4740.0,38000.0,1456.0,204.0,94.0,46.0,70.0,66000.0,371.0,6347.0,3412.0
39,🐷不要再做乖女孩🐷,女,北京,11,852.2,301000.0,2673.0,5651000.0,913.0,131.0,9.0,,247.0,5.0,219000.0,28000.0,3048.0,85000.0,1974.0,995.0,126.0,206.0,410.0,1483000.0,17000.0,18000.0,194000.0
40,鹭青一（周一三五本人直播）,女,,11,826.3,290000.0,294.0,3616000.0,1757.0,103.0,80.0,3620.0,55.0,28.0,92000.0,6640.0,4072.0,156000.0,284.0,387.0,554.0,2343.0,1939.0,222000.0,1576.0,2707.0,1974.0
41,璋哥,女,长沙,0,850.4,661000.0,344.0,3315000.0,4441.0,634.0,55.0,24000.0,22.0,4.0,134000.0,19000.0,2148.0,169000.0,2583.0,884.0,247.0,380.0,36.0,293000.0,2981.0,10000.0,25000.0
42,呗呗兔_今晚七点直播,女,杭州,10,1019.1,10014000.0,292.0,46616000.0,6538.0,302.0,171.0,-72000.0,166.0,14.0,925000.0,51000.0,23000.0,6983000.0,21000.0,41000.0,54000.0,215000.0,262.0,23442000.0,319000.0,294000.0,5572000.0
43,小石榴的好物分享,女,,5,867.3,908000.0,216.0,9561000.0,1289.0,37.0,14.0,42000.0,30.0,5.0,602000.0,5937.0,3754.0,13000.0,100.0,20.0,25.0,4.0,13.0,130000.0,1134.0,36.0,27000.0
44,隔壁的凯凯！,男,北京,10,924.0,2059000.0,132.0,10585000.0,38000.0,2528.0,719.0,62000.0,10.0,0.0,802000.0,33000.0,17000.0,4000000.0,10000.0,30000.0,40000.0,180000.0,200.0,20000000.0,200000.0,200000.0,3000000.0
45,饥饿少女,女,,7,902.7,2491000.0,149.0,24707000.0,7885.0,290.0,42.0,71000.0,54.0,36.0,1326000.0,22000.0,4415.0,896000.0,3518.0,1718.0,5960.0,3118.0,368.0,13384000.0,440000.0,5485.0,1510000.0
46,大C,女,北京,10,886.1,1085000.0,237.0,6966000.0,20000.0,490.0,402.0,37000.0,16.0,0.0,642000.0,12000.0,9634.0,400000.0,1500.0,800.0,3000.0,1500.0,150.0,8000000.0,200000.0,2000.0,700000.0
47,130斤的西西,女,杭州,13,748.3,175000.0,308.0,762000.0,607.0,44.0,18.0,15000.0,63.0,37.0,68000.0,4159.0,1635.0,228000.0,134.0,370.0,2642.0,6970.0,1501.0,346000.0,2786.0,572.0,2486.0
48,李同学,女,,10,965.3,3470000.0,160.0,27268000.0,42000.0,1408.0,342.0,113000.0,16.0,0.0,1598000.0,45000.0,16000.0,22000.0,13.0,37.0,264.0,197.0,150.0,34000.0,278.0,57.0,248.0
49,爱新觉罗男孩,未知,广州,10,915.3,1751000.0,230.0,20364000.0,10000.0,197.0,53.0,55000.0,44.0,3.0,1747000.0,20000.0,9845.0,87000.0,845.0,502.0,267.0,189.0,43.0,65000.0,1133.0,3501.0,4419.0
50,破产姐弟,未知,青岛,8,1031.3,20394000.0,158.0,250000000.0,665000.0,4752.0,1241.0,616000.0,17.0,5.0,15248000.0,104000.0,31000.0,704000.0,4440.0,2936.0,3879.0,1312.0,26.0,379000.0,8274.0,35000.0,109000.0
